Model,Degradation,Clean_F1,Worst_F1_Mean,Worst_F1_Std,F1_Drop_pp
EfficientFormer-L1 (Hybrid),Gaussian Blur,0.8758,0.4399,0.0576,43.6
EfficientFormer-L1 (Hybrid),Gaussian Noise,0.8758,0.5081,0.0585,36.8
EfficientFormer-L1 (Hybrid),JPEG Compression,0.8758,0.49,0.0416,38.6
EfficientFormer-L1 (Hybrid),Resolution Downsampling,0.8758,0.4512,0.0265,42.5
EfficientNetB0 (CNN),Gaussian Blur,0.8455,0.3502,0.1327,49.5
EfficientNetB0 (CNN),Gaussian Noise,0.8455,0.4904,0.0322,35.5
EfficientNetB0 (CNN),JPEG Compression,0.8455,0.4347,0.0394,41.1
EfficientNetB0 (CNN),Resolution Downsampling,0.8455,0.3394,0.1098,50.6
ViT-B/16 (Transformer),Gaussian Blur,0.8388,0.6069,0.0146,23.2
ViT-B/16 (Transformer),Gaussian Noise,0.8388,0.6188,0.0804,22.0
ViT-B/16 (Transformer),JPEG Compression,0.8388,0.6639,0.007,17.5
ViT-B/16 (Transformer),Resolution Downsampling,0.8388,0.5623,0.0154,27.6
