Model,Degradation,Clean_F1,Worst_F1_Mean,Worst_F1_Std,F1_Drop_pp
"EfficientFormer-L1 (Hybrid, 11M)",Gaussian Blur,0.831,0.33,0.1696,50.1
"EfficientFormer-L1 (Hybrid, 11M)",Gaussian Noise,0.831,0.421,0.1757,41.0
"EfficientFormer-L1 (Hybrid, 11M)",JPEG Compression,0.831,0.4829,0.1491,34.8
"EfficientFormer-L1 (Hybrid, 11M)",Resolution Downsampling,0.831,0.3829,0.1281,44.8
"EfficientNetB0 (CNN, 4M)",Gaussian Blur,0.8047,0.4056,0.0824,39.9
"EfficientNetB0 (CNN, 4M)",Gaussian Noise,0.8047,0.5056,0.0329,29.9
"EfficientNetB0 (CNN, 4M)",JPEG Compression,0.8047,0.4676,0.0399,33.7
"EfficientNetB0 (CNN, 4M)",Resolution Downsampling,0.8047,0.3978,0.1073,40.7
"ViT-B/16 (Transformer, 86M)",Gaussian Blur,0.8242,0.5842,0.0187,24.0
"ViT-B/16 (Transformer, 86M)",Gaussian Noise,0.8242,0.6109,0.0878,21.3
"ViT-B/16 (Transformer, 86M)",JPEG Compression,0.8242,0.6167,0.048,20.8
"ViT-B/16 (Transformer, 86M)",Resolution Downsampling,0.8242,0.5692,0.0185,25.5
"ViT-S/16 (Transformer, 22M)",Gaussian Blur,0.8289,0.5705,0.0161,25.8
"ViT-S/16 (Transformer, 22M)",Gaussian Noise,0.8289,0.6516,0.029,17.7
"ViT-S/16 (Transformer, 22M)",JPEG Compression,0.8289,0.5992,0.0279,23.0
"ViT-S/16 (Transformer, 22M)",Resolution Downsampling,0.8289,0.5574,0.0152,27.1
"ViT-Ti/16 (Transformer, 5.7M)",Gaussian Blur,0.8296,0.5997,0.0209,23.0
"ViT-Ti/16 (Transformer, 5.7M)",Gaussian Noise,0.8296,0.5695,0.0835,26.0
"ViT-Ti/16 (Transformer, 5.7M)",JPEG Compression,0.8296,0.6122,0.0096,21.7
"ViT-Ti/16 (Transformer, 5.7M)",Resolution Downsampling,0.8296,0.5666,0.0139,26.3
