Model,Degradation,Class_Code,Class_Name,Clean_F1,Worst_F1,F1_Drop_pp
"EfficientFormer-L1 (Hybrid, 11M)",Gaussian Noise,akiec,Actinic Keratoses,0.5589,0.0049,55.4
"EfficientFormer-L1 (Hybrid, 11M)",Gaussian Noise,bcc,Basal Cell Carcinoma,0.7332,0.1311,60.2
"EfficientFormer-L1 (Hybrid, 11M)",Gaussian Noise,bkl,Benign Keratosis,0.6802,0.1692,51.1
"EfficientFormer-L1 (Hybrid, 11M)",Gaussian Noise,df,Dermatofibroma,0.5762,0.0105,56.6
"EfficientFormer-L1 (Hybrid, 11M)",Gaussian Noise,mel,Melanoma,0.5952,0.0383,55.7
"EfficientFormer-L1 (Hybrid, 11M)",Gaussian Noise,nv,Melanocytic Nevi,0.9165,0.5831,33.3
"EfficientFormer-L1 (Hybrid, 11M)",Gaussian Noise,vasc,Vascular Lesions,0.849,0.0194,83.0
"EfficientFormer-L1 (Hybrid, 11M)",Gaussian Blur,akiec,Actinic Keratoses,0.5589,0.0,55.9
"EfficientFormer-L1 (Hybrid, 11M)",Gaussian Blur,bcc,Basal Cell Carcinoma,0.7332,0.0,73.3
"EfficientFormer-L1 (Hybrid, 11M)",Gaussian Blur,bkl,Benign Keratosis,0.6802,0.0027,67.8
"EfficientFormer-L1 (Hybrid, 11M)",Gaussian Blur,df,Dermatofibroma,0.5762,0.0,57.6
"EfficientFormer-L1 (Hybrid, 11M)",Gaussian Blur,mel,Melanoma,0.5952,0.0877,50.7
"EfficientFormer-L1 (Hybrid, 11M)",Gaussian Blur,nv,Melanocytic Nevi,0.9165,0.4722,44.4
"EfficientFormer-L1 (Hybrid, 11M)",Gaussian Blur,vasc,Vascular Lesions,0.849,0.0598,78.9
"EfficientFormer-L1 (Hybrid, 11M)",Resolution Downsampling,akiec,Actinic Keratoses,0.5589,0.0,55.9
"EfficientFormer-L1 (Hybrid, 11M)",Resolution Downsampling,bcc,Basal Cell Carcinoma,0.7332,0.0,73.3
"EfficientFormer-L1 (Hybrid, 11M)",Resolution Downsampling,bkl,Benign Keratosis,0.6802,0.0245,65.6
"EfficientFormer-L1 (Hybrid, 11M)",Resolution Downsampling,df,Dermatofibroma,0.5762,0.0,57.6
"EfficientFormer-L1 (Hybrid, 11M)",Resolution Downsampling,mel,Melanoma,0.5952,0.0474,54.8
"EfficientFormer-L1 (Hybrid, 11M)",Resolution Downsampling,nv,Melanocytic Nevi,0.9165,0.5542,36.2
"EfficientFormer-L1 (Hybrid, 11M)",Resolution Downsampling,vasc,Vascular Lesions,0.849,0.0794,77.0
"EfficientFormer-L1 (Hybrid, 11M)",JPEG Compression,akiec,Actinic Keratoses,0.5589,0.0284,53.0
"EfficientFormer-L1 (Hybrid, 11M)",JPEG Compression,bcc,Basal Cell Carcinoma,0.7332,0.0827,65.0
"EfficientFormer-L1 (Hybrid, 11M)",JPEG Compression,bkl,Benign Keratosis,0.6802,0.2218,45.8
"EfficientFormer-L1 (Hybrid, 11M)",JPEG Compression,df,Dermatofibroma,0.5762,0.0247,55.2
"EfficientFormer-L1 (Hybrid, 11M)",JPEG Compression,mel,Melanoma,0.5952,0.1727,42.2
"EfficientFormer-L1 (Hybrid, 11M)",JPEG Compression,nv,Melanocytic Nevi,0.9165,0.6433,27.3
"EfficientFormer-L1 (Hybrid, 11M)",JPEG Compression,vasc,Vascular Lesions,0.849,0.1578,69.1
"EfficientNetB0 (CNN, 4M)",Gaussian Noise,akiec,Actinic Keratoses,0.5151,0.0,51.5
"EfficientNetB0 (CNN, 4M)",Gaussian Noise,bcc,Basal Cell Carcinoma,0.7171,0.0562,66.1
"EfficientNetB0 (CNN, 4M)",Gaussian Noise,bkl,Benign Keratosis,0.6383,0.0804,55.8
"EfficientNetB0 (CNN, 4M)",Gaussian Noise,df,Dermatofibroma,0.4693,0.0,46.9
"EfficientNetB0 (CNN, 4M)",Gaussian Noise,mel,Melanoma,0.5432,0.0035,54.0
"EfficientNetB0 (CNN, 4M)",Gaussian Noise,nv,Melanocytic Nevi,0.8973,0.7338,16.3
"EfficientNetB0 (CNN, 4M)",Gaussian Noise,vasc,Vascular Lesions,0.8372,0.0,83.7
"EfficientNetB0 (CNN, 4M)",Gaussian Blur,akiec,Actinic Keratoses,0.5151,0.0121,50.3
"EfficientNetB0 (CNN, 4M)",Gaussian Blur,bcc,Basal Cell Carcinoma,0.7171,0.0622,65.5
"EfficientNetB0 (CNN, 4M)",Gaussian Blur,bkl,Benign Keratosis,0.6383,0.0893,54.9
"EfficientNetB0 (CNN, 4M)",Gaussian Blur,df,Dermatofibroma,0.4693,0.0,46.9
"EfficientNetB0 (CNN, 4M)",Gaussian Blur,mel,Melanoma,0.5432,0.0,54.3
"EfficientNetB0 (CNN, 4M)",Gaussian Blur,nv,Melanocytic Nevi,0.8973,0.5839,31.3
"EfficientNetB0 (CNN, 4M)",Gaussian Blur,vasc,Vascular Lesions,0.8372,0.0113,82.6
"EfficientNetB0 (CNN, 4M)",Resolution Downsampling,akiec,Actinic Keratoses,0.5151,0.0101,50.5
"EfficientNetB0 (CNN, 4M)",Resolution Downsampling,bcc,Basal Cell Carcinoma,0.7171,0.0429,67.4
"EfficientNetB0 (CNN, 4M)",Resolution Downsampling,bkl,Benign Keratosis,0.6383,0.0988,54.0
"EfficientNetB0 (CNN, 4M)",Resolution Downsampling,df,Dermatofibroma,0.4693,0.0278,44.2
"EfficientNetB0 (CNN, 4M)",Resolution Downsampling,mel,Melanoma,0.5432,0.0117,53.2
"EfficientNetB0 (CNN, 4M)",Resolution Downsampling,nv,Melanocytic Nevi,0.8973,0.569,32.8
"EfficientNetB0 (CNN, 4M)",Resolution Downsampling,vasc,Vascular Lesions,0.8372,0.0285,80.9
"EfficientNetB0 (CNN, 4M)",JPEG Compression,akiec,Actinic Keratoses,0.5151,0.0278,48.7
"EfficientNetB0 (CNN, 4M)",JPEG Compression,bcc,Basal Cell Carcinoma,0.7171,0.0586,65.8
"EfficientNetB0 (CNN, 4M)",JPEG Compression,bkl,Benign Keratosis,0.6383,0.1265,51.2
"EfficientNetB0 (CNN, 4M)",JPEG Compression,df,Dermatofibroma,0.4693,0.0,46.9
"EfficientNetB0 (CNN, 4M)",JPEG Compression,mel,Melanoma,0.5432,0.048,49.5
"EfficientNetB0 (CNN, 4M)",JPEG Compression,nv,Melanocytic Nevi,0.8973,0.6615,23.6
