Model,Degradation,Severity,Accuracy_Mean,Accuracy_Std,F1_Mean,F1_Std
EfficientFormer-L1 (Hybrid),Gaussian Blur,0,0.876,0.0103,0.8758,0.0096
EfficientFormer-L1 (Hybrid),Gaussian Blur,1,0.7955,0.0093,0.7644,0.0132
EfficientFormer-L1 (Hybrid),Gaussian Blur,2,0.7252,0.0109,0.6634,0.0281
EfficientFormer-L1 (Hybrid),Gaussian Blur,3,0.6651,0.0103,0.5854,0.03
EfficientFormer-L1 (Hybrid),Gaussian Blur,4,0.5294,0.0502,0.4884,0.0212
EfficientFormer-L1 (Hybrid),Gaussian Blur,5,0.4332,0.0745,0.4399,0.0576
EfficientFormer-L1 (Hybrid),Gaussian Noise,0,0.876,0.0103,0.8758,0.0096
EfficientFormer-L1 (Hybrid),Gaussian Noise,1,0.6272,0.0973,0.6498,0.0681
EfficientFormer-L1 (Hybrid),Gaussian Noise,2,0.6676,0.0609,0.672,0.0406
EfficientFormer-L1 (Hybrid),Gaussian Noise,3,0.6822,0.0274,0.6371,0.0145
EfficientFormer-L1 (Hybrid),Gaussian Noise,4,0.6294,0.0309,0.5663,0.0301
EfficientFormer-L1 (Hybrid),Gaussian Noise,5,0.5392,0.0839,0.5081,0.0585
EfficientFormer-L1 (Hybrid),JPEG Compression,0,0.876,0.0103,0.8758,0.0096
EfficientFormer-L1 (Hybrid),JPEG Compression,1,0.8456,0.0066,0.839,0.0091
EfficientFormer-L1 (Hybrid),JPEG Compression,2,0.819,0.0098,0.8103,0.016
EfficientFormer-L1 (Hybrid),JPEG Compression,3,0.7958,0.0219,0.78,0.032
EfficientFormer-L1 (Hybrid),JPEG Compression,4,0.7498,0.0254,0.715,0.0434
EfficientFormer-L1 (Hybrid),JPEG Compression,5,0.4988,0.1099,0.49,0.0416
EfficientFormer-L1 (Hybrid),Resolution Downsampling,0,0.876,0.0103,0.8758,0.0096
EfficientFormer-L1 (Hybrid),Resolution Downsampling,1,0.7683,0.006,0.7218,0.0114
EfficientFormer-L1 (Hybrid),Resolution Downsampling,2,0.7066,0.0063,0.632,0.0274
EfficientFormer-L1 (Hybrid),Resolution Downsampling,3,0.613,0.0157,0.5238,0.0085
EfficientFormer-L1 (Hybrid),Resolution Downsampling,4,0.5056,0.0122,0.4806,0.0165
EfficientFormer-L1 (Hybrid),Resolution Downsampling,5,0.4385,0.0476,0.4512,0.0265
EfficientNetB0 (CNN),Gaussian Blur,0,0.8423,0.0185,0.8455,0.017
EfficientNetB0 (CNN),Gaussian Blur,1,0.7288,0.01,0.6956,0.0163
EfficientNetB0 (CNN),Gaussian Blur,2,0.4753,0.0805,0.469,0.054
EfficientNetB0 (CNN),Gaussian Blur,3,0.3659,0.083,0.4058,0.0499
EfficientNetB0 (CNN),Gaussian Blur,4,0.3142,0.156,0.3438,0.1424
EfficientNetB0 (CNN),Gaussian Blur,5,0.3296,0.161,0.3502,0.1327
EfficientNetB0 (CNN),Gaussian Noise,0,0.8423,0.0185,0.8455,0.017
EfficientNetB0 (CNN),Gaussian Noise,1,0.5021,0.0254,0.538,0.0134
EfficientNetB0 (CNN),Gaussian Noise,2,0.5345,0.0306,0.5563,0.0123
EfficientNetB0 (CNN),Gaussian Noise,3,0.5961,0.0333,0.5639,0.0289
EfficientNetB0 (CNN),Gaussian Noise,4,0.5458,0.0267,0.5118,0.0122
EfficientNetB0 (CNN),Gaussian Noise,5,0.5099,0.0516,0.4904,0.0322
EfficientNetB0 (CNN),JPEG Compression,0,0.8423,0.0185,0.8455,0.017
EfficientNetB0 (CNN),JPEG Compression,1,0.8055,0.0095,0.8054,0.0082
EfficientNetB0 (CNN),JPEG Compression,2,0.762,0.0184,0.7601,0.0161
EfficientNetB0 (CNN),JPEG Compression,3,0.7137,0.0223,0.7131,0.0184
EfficientNetB0 (CNN),JPEG Compression,4,0.5942,0.0244,0.6029,0.0136
EfficientNetB0 (CNN),JPEG Compression,5,0.4293,0.0741,0.4347,0.0394
EfficientNetB0 (CNN),Resolution Downsampling,0,0.8423,0.0185,0.8455,0.017
EfficientNetB0 (CNN),Resolution Downsampling,1,0.5995,0.0617,0.5687,0.0408
EfficientNetB0 (CNN),Resolution Downsampling,2,0.446,0.0509,0.4558,0.0438
EfficientNetB0 (CNN),Resolution Downsampling,3,0.3072,0.1527,0.3397,0.1437
EfficientNetB0 (CNN),Resolution Downsampling,4,0.3258,0.1849,0.3406,0.1541
EfficientNetB0 (CNN),Resolution Downsampling,5,0.3178,0.1504,0.3394,0.1098
ViT-B/16 (Transformer),Gaussian Blur,0,0.8328,0.0362,0.8388,0.0327
ViT-B/16 (Transformer),Gaussian Blur,1,0.8208,0.0324,0.8231,0.0298
ViT-B/16 (Transformer),Gaussian Blur,2,0.7944,0.0179,0.7805,0.0185
ViT-B/16 (Transformer),Gaussian Blur,3,0.7647,0.0032,0.7296,0.0028
ViT-B/16 (Transformer),Gaussian Blur,4,0.7232,0.0024,0.6541,0.005
ViT-B/16 (Transformer),Gaussian Blur,5,0.7024,0.0069,0.6069,0.0146
ViT-B/16 (Transformer),Gaussian Noise,0,0.8328,0.0362,0.8388,0.0327
