Model,Degradation,Severity,Accuracy_Mean,Accuracy_Std,F1_Mean,F1_Std
"EfficientFormer-L1 (Hybrid, 11M)",Gaussian Blur,0,0.8309,0.0027,0.831,0.0037
"EfficientFormer-L1 (Hybrid, 11M)",Gaussian Blur,1,0.7882,0.0193,0.7646,0.0284
"EfficientFormer-L1 (Hybrid, 11M)",Gaussian Blur,2,0.7247,0.0219,0.6798,0.0301
"EfficientFormer-L1 (Hybrid, 11M)",Gaussian Blur,3,0.6238,0.065,0.5834,0.0404
"EfficientFormer-L1 (Hybrid, 11M)",Gaussian Blur,4,0.3932,0.2083,0.4031,0.1218
"EfficientFormer-L1 (Hybrid, 11M)",Gaussian Blur,5,0.3158,0.2351,0.33,0.1696
"EfficientFormer-L1 (Hybrid, 11M)",Gaussian Noise,0,0.8309,0.0027,0.831,0.0037
"EfficientFormer-L1 (Hybrid, 11M)",Gaussian Noise,1,0.521,0.0505,0.5647,0.0455
"EfficientFormer-L1 (Hybrid, 11M)",Gaussian Noise,2,0.5285,0.0638,0.567,0.0533
"EfficientFormer-L1 (Hybrid, 11M)",Gaussian Noise,3,0.6035,0.0225,0.6137,0.0073
"EfficientFormer-L1 (Hybrid, 11M)",Gaussian Noise,4,0.55,0.083,0.547,0.0698
"EfficientFormer-L1 (Hybrid, 11M)",Gaussian Noise,5,0.3905,0.2148,0.421,0.1757
"EfficientFormer-L1 (Hybrid, 11M)",JPEG Compression,0,0.8309,0.0027,0.831,0.0037
"EfficientFormer-L1 (Hybrid, 11M)",JPEG Compression,1,0.7986,0.0191,0.7988,0.0181
"EfficientFormer-L1 (Hybrid, 11M)",JPEG Compression,2,0.7729,0.0068,0.7758,0.0064
"EfficientFormer-L1 (Hybrid, 11M)",JPEG Compression,3,0.742,0.0187,0.7475,0.0197
"EfficientFormer-L1 (Hybrid, 11M)",JPEG Compression,4,0.7007,0.0302,0.7022,0.0265
"EfficientFormer-L1 (Hybrid, 11M)",JPEG Compression,5,0.4574,0.2032,0.4829,0.1491
"EfficientFormer-L1 (Hybrid, 11M)",Resolution Downsampling,0,0.8309,0.0027,0.831,0.0037
"EfficientFormer-L1 (Hybrid, 11M)",Resolution Downsampling,1,0.7702,0.0255,0.7406,0.0359
"EfficientFormer-L1 (Hybrid, 11M)",Resolution Downsampling,2,0.7095,0.023,0.6585,0.0268
"EfficientFormer-L1 (Hybrid, 11M)",Resolution Downsampling,3,0.5242,0.1213,0.5022,0.0555
"EfficientFormer-L1 (Hybrid, 11M)",Resolution Downsampling,4,0.3863,0.2059,0.3979,0.1248
